Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2013-0528-USA,2013,0528,,Natural,Meteorological,Extreme temperature,Severe winter conditions,Snow/Ice,,United States of America (the),USA,Northern America,Americas,"Michigan, Ohio, New York, Vermont, Maine, Kansas, Iowa, Texas, Wisconsin, Illinois, Minnesota, Arkansas, Louisiana, Mississippi, Kentucky provinces",,,,,,,,,�C,,,,,2013,12,19,2013,12,22,19,,,,,,,,,200000,232635,85.97164225,1,3217;3227;3229;3230;3231;3232;3233;3236;3237;3238;3246;3249;3257;3259;3263,,"Arkansas, Illinois, Iowa, Kansas, Kentucky, Louisiana, Maine, Michigan, Minnesota, Mississippi, New York, Ohio, Texas, Vermont, Wisconsin (Adm1)."
2013-0117-USA,2013,0117,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",,,,,,,,,Kph,,,,,2013,4,7,2013,4,11,4,,,,,,,1500000,1744761,1600000,1861079,85.97164225,1,3214;3217;3218;3219;3221;3223;3224;3227;3228;3229;3230;3231;3232;3234;3236;3237;3238;3239;3240;3241;3245;3247;3248;3249;3250;3254;3255;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, California, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2013-0254-USA,2013,0254,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Cleveland, Lincoln, Catawba districts (North Carolina province), Pennsylvania province",Slow moving storm system,,,,,,,,Km2,,,,,2013,7,27,2013,7,28,2,,1425,,1425,,,,,25000,29079,85.97164225,1;2,3252,30584;30589;30621,"Pennsylvania (Adm1). Catawba, Cleveland, Lincoln (Adm2)."
2013-0277-USA,2013,0277,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Missouri, Kansas, Tennessee, Arkansas, Oklahoma provinces",Torrential rains,,,,,,,123143,Km2,38.2138,-94.15,,,2013,8,5,2013,8,12,3,,6000,,6000,,,,,25000,29079,85.97164225,1,3217;3230;3239;3250;3256,,"Arkansas, Kansas, Missouri, Oklahoma, Tennessee (Adm1)."
2013-0286-USA,2013,0286,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"San Antonio town (Bexar district, Texas province)",Heavy rains,,,,,,,33908,Km2,28.899,-98.89,,,2013,5,25,2013,5,28,3,,300,,300,,,,,2000,2326,85.97164225,2,,31214,Bexar (Adm2).
2013-0291-USA,2013,0291,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"Iowa, Michigan, Minnesota, Wisconsin provinces",Heavy rains,,,,,,,493137,Km2,38.8278,-88.64,,,2013,4,22,2013,4,29,5,,300,,300,,,,,325000,378032,85.97164225,1,3229;3236;3237;3263,,"Iowa, Michigan, Minnesota, Wisconsin (Adm1)."
2013-0510-USA,2013,0510,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Austin district (Texas province),Torrentiak rain,,,,,Yes,,38936,Km2,30.66,-96.01,,,2013,10,31,2013,11,10,4,,4800,,4800,,,,,,,85.97164225,2,,31207,Austin (Adm2).
2013-0209-USA,2013,0209,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,Los Angeles district (California province),"Hot temperatures, gusty winds, dry forest conditions",,,,,,,,Km2,,,,,2013,5,30,2013,6,8,,8,12,90,110,,,,,21400,24892,85.97164225,2,,28883,Los Angeles (Adm2).
2013-0210-USA,2013,0210,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Black Forest area (El Paso district, Colorado province)",,,,,,,,,Km2,,,,,2013,6,6,2013,6,20,2,,84,1533,1617,,,450000,523428,500000,581587,85.97164225,2,,28942,El Paso (Adm2).
2013-0212-USA,2013,0212,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Yarnell area (Yavapai district, Arizona province)",,,,,,,,,Km2,,,,,2013,6,28,2013,7,12,19,,,387,387,,,,,2000,2326,85.97164225,2,,28788,Yavapai (Adm2).
2013-0179-USA,2013,0179,,Technological,Technological,Industrial accident,Explosion,,Fetilizer plant,United States of America (the),USA,Northern America,Americas,Near Waco (Texas),,,,,No,No,,,m3,,,,,2013,5,21,2013,5,21,15,200,420,,620,,,,,200000,232635,85.97164225,,,,
2013-0315-USA,2013,0315,,Natural,Climatological,Wildfire,,,,United States of America (the),USA,Northern America,Americas,"Yosemite valley (Mariposa district, California province)",,,,,,Yes,,,Km2,,,,,2013,8,3,2013,9,1,,3,,33,36,,,,,175000,203555,85.97164225,2,,28886,Mariposa (Adm2).
2013-0404-USA,2013,0404,,Natural,Climatological,Wildfire,,,,United States of America (the),USA,Northern America,Americas,Shasta district (California province),,,,,,,,,Km2,,,,,2013,9,9,2013,9,15,1,6,15,204,225,,,,,10000,11632,85.97164225,2,,28909,Shasta (Adm2).
2013-0109-ZAF,2013,0109,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Hex River Pass,,,,,No,No,,,,,,,,2013,3,15,2013,3,15,24,45,,,45,,,,,,,85.97164225,,,,
2013-0332-ZAF,2013,0332,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Near Durban,,,,,No,No,,,,,,,,2013,9,5,2013,9,5,27,30,,,30,,,,,,,85.97164225,,,,
2013-0446-ZAF,2013,0446,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Near Kwaggafontein (Mpumalanga province),,,,,No,No,,,,,,,,2013,11,12,2013,11,12,29,,,,,,,,,,,85.97164225,,,,
2013-0468-ZAF,2013,0468,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Limpopo province,,,,,No,No,,,,,,,,2013,11,22,2013,11,22,11,,,,,,,,,,,85.97164225,,,,
2013-0469-ZAF,2013,0469,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Durban,,,,,No,No,,,,,,,,2013,11,22,2013,11,22,14,,,,,,,,,,,85.97164225,,,,
2013-0147-ZAF,2013,0147,,Technological,Technological,Transport accident,Rail,,,South Africa,ZAF,Southern Africa,Africa,Pretoria,,,,,No,No,,,,,,,,2013,1,31,2013,1,31,,200,,,200,,,,,,,85.97164225,,,,
2013-0503-ZAF,2013,0503,,Technological,Technological,Industrial accident,Collapse,,Commercial market,South Africa,ZAF,Southern Africa,Africa,Near Durban,,,,,No,No,,,m3,,,,,2013,11,20,2013,11,20,30,29,,,29,,,,,,,85.97164225,,,,
2013-0002-ZAF,2013,0002,,Technological,Technological,Miscellaneous accident,Fire,,Shanty town,South Africa,ZAF,Southern Africa,Africa,Cape town,,,,,No,No,,,,,,,,2013,1,1,2013,1,1,3,1,,4000,4001,,,,,,,85.97164225,,,,
2013-0447-ZWE,2013,0447,,Technological,Technological,Transport accident,Road,,,Zimbabwe,ZWE,Eastern Africa,Africa,Ner Chisumbaje,,,,,No,No,,,,,,,,2013,10,30,2013,10,30,21,,,,,,,,,,,85.97164225,,,,
2014-0319-CAN,2014,0319,,Natural,Hydrological,Flood,Flash flood,,,Canada,CAN,Northern America,Americas,"Burlington city (Halton district, Ontario province)",,Lightening,,,,,,,Km2,,,,,2014,8,4,2014,8,4,,4,6900,,6904,,,87000,99581,129000,147654,87.36629784,2,,12655,Halton (Adm2).
2014-0394-AGO,2014,0394,,Technological,Technological,Transport accident,Road,,,Angola,AGO,Middle Africa,Africa,Near Porto Amboin,,,,,No,No,,,,,,,,2014,10,10,2014,10,10,26,,,,,,,,,,,87.36629784,,,,
2014-0009-CAN,2014,0009,,Natural,Meteorological,Extreme temperature,Cold wave,,,Canada,CAN,Northern America,Americas,"Ontario, Manitoba, Saskatchewan provinces",,,,,,,,-48,�C,,,,,2014,1,1,2014,1,9,,,,,,,,,,,,87.36629784,1,827;833;836,,"Manitoba, Ontario, Saskatchewan (Adm1)."
2014-0031-CAN,2014,0031,,Technological,Technological,Miscellaneous accident,Fire,,Elderly house,Canada,CAN,Northern America,Americas,Isle-verte (Quebec),,,,,No,No,,,,,,,,2014,1,23,2014,1,23,32,,,,,,,,,,,87.36629784,,,,
2015-0090-AGO,2015,0090,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,Luanda province,Torrential rain,"Slide (land, mud, snow, rock)",,,,,,102553,Km2,-8.81664,13.68,,,2015,3,9,2015,3,23,1,,2000,,2000,,,,,,,87.46993221,1,408,,Luanda (Adm1).
2015-0075-AGO,2015,0075,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Bengo, Cabinda, Cuanza Sul, Kuanza Norte, Luanda, Lunda Norte, Lunda Sul, Malanje, Uige, Zaire provinces",,,,,,,,,Km2,,,,,2015,2,13,2015,2,14,5,,,2000,2000,,,,,,,87.46993221,1,398;401;403;407;408;409;410;411;414;415,,"Bengo, Cabinda, Cuanza Sul, Kuanza Norte, Luanda, Lunda Norte, Lunda Sul, Malanje, Uige, Zaire (Adm1)."
2015-0091-AGO,2015,0091,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Belas city (Viana district, Luanda province), Cacuaco district (Luanda province), Lobito district (Benguela province)",Torrential rain,,,,,,,12133,Km2,-12.1145,13.88,,,2015,3,9,2015,3,23,69,,1000,,1000,,,,,,,87.46993221,2,,4222;4298;4300,"Cacuaco, Lobito, Viana (Adm2)."
2015-0579-AGO,2015,0579,EP-2015-000179,Natural,Biological,Epidemic,Viral disease,,Yellow fever,Angola,AGO,Middle Africa,Africa,"Cabinda, Cuanza Sul, Huambo, Huila, Uige, Bengo, Benguela, Bie, Cuando Cubango, Luanda Norte, Cunene, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Zaire provinces",,,,,,,,13025874,Vaccinated,,,,,2015,12,5,2016,10,20,384,4599,,,4599,,,,,,,87.46993221,1,398;399;400;401;402;403;404;405;406;408;409;410;411;412;413;414;415,,"Bengo, Benguela, Bie, Cabinda, Cuando Cubango, Cuanza Sul, Cunene, Huambo, Huila, Luanda, Lunda Norte, Lunda Sul, Malanje, Moxico, Namibe, Uige, Zaire (Adm1)."
2015-0275-CAN,2015,0275,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,"Saskatchewan, Alberta, British Columbia provinces","Hot, dry and windy conditions",,,,,,,,Km2,,,,,2015,7,1,2015,7,10,,,13000,36,13036,,,,,,,87.46993221,1,825;826;836,,"Alberta, British Columbia / Colombie-Britannique, Saskatchewan (Adm1)."
2016-0172-CAN,2016,0172,,Natural,Climatological,Wildfire,Forest fire,,Fort McMurray wildfires,Canada,CAN,Northern America,Americas,"Fort McMurray city (Wood Buffalo area, Division No. 16 district, Alberta province)",,Explosion,,Yes,,,,6000,Km2,,,,,2016,5,1,2016,7,4,,,88000,,88000,,,2900000,3274119,4000000,4516026,88.57345288,2,,12535,Division No. 16 (Adm2).
2016-0056-AGO,2016,0056,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Lubango city (Lubango district, Huila province)",,,,,,,,,Km2,,,,"Capitao, Caculuvar rivers",2016,2,29,2016,3,1,54,,,,,,,,,,,88.57345288,2,,4284,Lubango (Adm2).
2016-0088-AGO,2016,0088,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Sumbe district (Cuanza Sul province), Cacolo, Dala, Saurimo districts (Lunda Sul province)",Extreme rainfall,,,,,,,,Km2,,,,,2016,3,3,2016,3,6,6,,,2755,2755,,,,,,,88.57345288,2,,4255;4310;4311;4313,"Cacolo, Dala, Saurimo, Sumbe (Adm2)."
2016-0131-AGO,2016,0131,,Natural,Hydrological,Flood,Flash flood,,,Angola,AGO,Middle Africa,Africa,"Viana, Cacuaco, Belas (Viana), Cazenga and urban districts of Ingombota, Kilamba Kiaxi, Rangel, Maianga (Luanda), Ceramina, Mateba, Paraiso, Augusto Ngangula municiplalities",Torrential rains,,,,,,,59746,Km2,-832.104,13.98,,,2016,4,16,2016,4,22,23,,3200,2400,5600,,,,,,,88.57345288,2,,4298;4299;4300,"Cacuaco, Luanda, Viana (Adm2)."
2013-0542-IDN,2013,0542,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,Yes,,,,,,3.17,98.392,,,2013,9,,2013,12,,,,29727,,29727,,,,,,,85.97164225,2,,18227,Karo (Adm2).
2013-0541-IDN,2013,0541,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Tebingtinggi district (Sumatera Utara province),Heavy rainfall,,,,,,,22525,Km2,4.48013,97.29,,,2013,12,28,2013,12,30,,,22500,,22500,,,,,2000,2326,85.97164225,2,,73757,Kota Tebingtinggi (Adm2).
2013-0553-IDN,2013,0553,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bojonegoro, Tuban, Gresik, Mojokerto districts (Jawa Timur province)",Heavy rainfall,,,,,,,,Km2,,,,"Bengawan Solo, Lamong rivers",2013,12,14,2013,12,15,4,,84250,,84250,,,,,2000,2326,85.97164225,2,,18067;18069;18086;18099,"Bojonegoro, Gresik, Mojokerto, Tuban (Adm2)."
2013-0560-IDN,2013,0560,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,Belu district (Nusatenggara Timur province),Heavy rains enhanced by Tropical cyclone Rusty,,,,,,,,Km2,,,,,2013,2,26,2013,2,28,3,,13860,,13860,,,,,,,85.97164225,2,,18150,Belu (Adm2).
2014-0183-MEX,2014,0183,,Natural,Meteorological,Storm,Tropical cyclone,,Boris,Mexico,MEX,Central America,Americas,"Chiapas, Oaxaca provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,40,Kph,,,,,2014,5,30,2014,6,6,,,,,,,,,,,,87.36629784,1,2032;2047,,"Chiapas, Oaxaca (Adm1)."
2014-0333-MEX,2014,0333,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Odile,Mexico,MEX,Central America,Americas,"Cabo San Lucas city (Los Cabos area, La Paz district, Baja California Sur province)",,Flood,Rain,,,,,205,Kph,,,,,2014,9,10,2014,9,17,6,135,75000,,75135,,,1200000,1373527,2500000,2861515,87.36629784,2,,19573,La Paz (Adm2).
2014-0417-MEX,2014,0417,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Trudy,Mexico,MEX,Central America,Americas,"Tlacoachistlahuaca, Huamuxtitlan, Tlalixtaquilla, Malinaltepec districts (Guerrero province), Oaxaca province",,"Slide (land, mud, snow, rock)",Flood,,,Yes,,,Kph,,,,,2014,10,18,2014,10,20,6,,30000,,30000,,,,,2000,2289,87.36629784,1;2,2047,19955;19965;19986;19989,"Oaxaca (Adm1). Huamuxtitlan, Malinaltepec, Tlacoachistlahuaca, Tlalixtaquilla De M. (Adm2)."
2014-0018-IDN,2014,0018,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Minahasa Utara, Kota Tomohon, Minahasa, Minahasa Selatan, Kepulauan-sangihe districts (Sulawesi Utara province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Tondano, Malalayang, Bahu, Singkil",2014,1,14,2014,1,17,20,,128182,,128182,,,,,153000,175125,87.36629784,2,,18200;73699;73760;73798;73799;73800,"Kepulauan-sangihe, Kota Manado, Kota Tomohon, Minahasa, Minahasa Selatan, Minahasa Utara (Adm2)."
2014-0038-IDN,2014,0038,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Subang, Indramayu districts (Jawa Barat province), Demak, Kudus districts (Jawa Tengah province), Jombang district (Jawa Timur province)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2014,1,24,2014,1,28,,,259100,1250,260350,,,,,173000,198017,87.36629784,2,,18013;18025;18037;18049;18071,"Demak, Indramayu, Jombang, Kudus, Subang (Adm2)."
2014-0057-IDN,2014,0057,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jawa Tengah, Jawa Timur provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2014,1,19,2014,1,22,11,,,4000,4000,,,,,2000,2289,87.36629784,1,1520;1521,,"Jawa Tengah, Jawa Timur (Adm1)."
2014-0537-THA,2014,0537,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Thailand,THA,South-Eastern Asia,Asia,"Chiang Mai, Chiang Rai, Lampang, Lamphun, Mae Hong Son, Nan, Phayao, Phrae, Sukhothai, Tak, Uttaradit provinces",,Hail,,,,,,,Kph,,,,,2014,3,16,2014,3,16,,,,2000,2000,,,,,,,87.36629784,1,2859;2860;2868;2869;2872;2881;2891;2897;2914;2918;2924,,"Chiang Mai, Chiang Rai, Lampang, Lamphun, Mae Hong Son, Nan, Phayao, Phrae, Sukhothai, Tak, Uttaradit (Adm1)."
2014-0385-MEX,2014,0385,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Dolly,Mexico,MEX,Central America,Americas,"Tamaupilas, Veracruz provinces",,Rain,,,,,,75,Kph,,,,,2014,9,4,2014,9,8,1,,1500,,1500,,,,,500,572,87.36629784,1,2055;2057,,"Tamaulipas, Veracruz (Adm1)."
2014-0325-MEX,2014,0325,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Marie,Mexico,MEX,Central America,Americas,"Oaxaca, Guerrero provinces",,Flood,,,,Yes,,220,Kph,,,,,2014,8,22,2014,9,2,3,,30000,,30000,,,,,14000,16024,87.36629784,1,2039;2047,,"Guerrero, Oaxaca (Adm1)."
2014-0386-MEX,2014,0386,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Norbert,Mexico,MEX,Central America,Americas,"La Paz district (Bafa California Sur province), Manzanillo district (Colima province), Mazatlan district (Sinaloa province), Baja Peninsula, Chihuahua, Jalisco, Nayarit,",,Flood,,,,,,205,Kph,,,,,2014,9,2,2014,9,11,3,,7500,,7500,,,,,25000,28615,87.36629784,1;2,2029;2033;2041;2045,19573;19818;20891,"Baja California, Chihuahua, Jalisco, Nayarit (Adm1). La Paz, Manzanillo, Mazatlan (Adm2)."
2014-0044-IDN,2014,0044,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,,,,,,,3.17,98.392,,,2014,2,1,2014,2,1,32,2,32000,,32002,,,,,83000,95002,87.36629784,2,,18227,Karo (Adm2).
2014-0064-IDN,2014,0064,VO-2014-000022,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Bantul, Kota Yogyakarta, Kulonprogo, Sleman districts (Daerah Istimewa Yogyakarta province), Boyolali, Kebumen, Kota Magelang, Kota Surakarta, Magelang, Purworejo, Temanggung, Wonogiri districts (Jawa Tengah province), Blitar, Kediri, Kota Blitar, Kota Kediri, Kota Malang, Kota Surabaya, Malang, Pacitan, Ponorogo districts (Jawa Timur province), Kota Mataram district (Nusatenggara Barat province)",,,,,,,,,,-7.93,112.308,,,2014,2,14,2014,2,14,7,70,83088,,83158,,,,,103000,117894,87.36629784,2,,17981;17983;17984;17985;18034;18041;18043;18047;18050;18055;18061;18062;18066;18072;18073;18074;18076;18080;18089;18092;73736;73780,"Bantul, Blitar, Boyolali, Kebumen, Kediri, Kota Blitar, Kota Kediri, Kota Magelang, Kota Malang, Kota Mataram, Kota Surabaya, Kota Surakarta, Kota Yogyakarta, Kulonprogo, Magelang, Malang, Pacitan, Ponorogo, Purworejo, Sleman, Temanggung, Wonogiri (Adm2)."
2014-0056-IDN,2014,0056,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tangerang district (Banten province), Dki Jakarta province",Heavy rains,,,,,,,35769,Km2,-6.6324,107.71,,,2014,1,8,2014,2,7,32,,20000,,20000,,,20000,22892,600000,686764,87.36629784,1;2,1516,18028,Dki Jakarta (Adm1). Tangerang (Adm2).
2014-0081-IDN,2014,0081,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Abepura area (Kota Jayapura district, Papua province)",Heavy rains,,,,,,,,Km2,,,,,2014,2,25,2014,2,25,13,,275,,275,,,,,,,87.36629784,2,,73727,Kota Jayapura (Adm2).
2014-0473-IDN,2014,0473,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Nangroe Aceh Darussalam, Bengkulu, Jambi, Lampung, Sumatera Barat, Sumatera Utara, Riau, Sumatera Selatan provinces",,,,,,,,,Km2,,,,,2014,11,22,2014,11,24,1,,10420,,10420,,,,,,,87.36629784,1,1512;1514;1518;1526;1535;1537;73618;73622,,"Bengkulu, Jambi, Lampung, Nangroe Aceh Darussalam, Riau, Sumatera Barat, Sumatera Selatan, Sumatera Utara (Adm1)."
2014-0034-IDN,2014,0034,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Jombang district (Jawa Timur province),Heavy rains,,,,,,,,,,,,,2014,1,28,2014,1,28,19,,,,,,,,,,,87.36629784,2,,18071,Jombang (Adm2).
2014-0483-IDN,2014,0483,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sampang village (Jemblung area, Banjarnegara district, Jawa Tengah province)",Torrential rains,,,,,,,,,,,,,2014,12,12,2014,12,20,108,,1900,2000,3900,,,,,,,87.36629784,2,,18030,Banjarnegara (Adm2).
2014-0500-IDN,2014,0500,,Technological,Technological,Transport accident,Air,,Airbus A320-220,Indonesia,IDN,South-Eastern Asia,Asia,Indian Ocean; Java sea,,,,,No,No,,,,,,,,2014,12,28,2014,12,28,162,,,,,,,,,,,87.36629784,,,,
2014-0299-IDN,2014,0299,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Sumatra Island,,,,,No,No,,,,,,,,2014,7,30,2014,7,30,19,,,,,,,,,,,87.36629784,,,,
2014-0300-IDN,2014,0300,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kapuas river (Kalimantan occidental, Borneo Isl.)",,,,,No,No,,,,,,,,2014,7,29,2014,7,29,17,,53,,53,,,,,,,87.36629784,,,,
2014-0361-IDN,2014,0361,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Near Sula Isl. (Maluku-North),,,,,No,No,,,,,,,,2014,9,16,2014,9,16,21,,,,,,,,,,,87.36629784,,,,
2014-0376-IDN,2014,0376,,Technological,Technological,Transport accident,Water,,Ferry,Indonesia,IDN,South-Eastern Asia,Asia,Near Bali,,,,,No,No,,,,,,,,2014,10,7,2014,10,7,43,,,,,,,,,,,87.36629784,,,,
2014-0186-IDN,2014,0186,,Technological,Technological,Industrial accident,Collapse,,Building in construction,Indonesia,IDN,South-Eastern Asia,Asia,"Samarinda, Kalimantan province (Bornéo)",,,,,No,No,,,m3,,,,,2014,6,3,2014,6,3,15,3,,,3,,,,,,,87.36629784,,,,
2014-0374-IDN,2014,0374,,Technological,Technological,Industrial accident,Collapse,,Gold mine,Indonesia,IDN,South-Eastern Asia,Asia,Borneo,,,,,No,No,,,m3,,,,,2014,10,5,2014,10,5,18,,,,,,,,,,,87.36629784,,,,
2014-0576-IDN,2014,0576,,Technological,Technological,Industrial accident,Collapse,,,Indonesia,IDN,South-Eastern Asia,Asia,"illegal gold mine, Dageuwo village, Papua province",,,,,No,No,,,m3,,,23:00,,2014,7,1,2014,7,1,13,2,,,2,,,,,,,87.36629784,2,,17996,Paniai (Adm2).
2014-0260-KHM,2014,0260,,Natural,Hydrological,Flood,Flash flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo provinces",Heavy rains,,,,,,,,Km2,,,,Mekong river,2014,7,30,2014,8,31,45,,472500,57950,530450,,,,,2000,2289,87.36629784,1,793;794;795;796;797;798;801;806;807;808;812;814,,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo (Adm1)."
2014-0127-MEX,2014,0127,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,"Guerrero, Morelos, Distrito Federal, Michoacan provinces",,,,,,,,7,Richter,17.397,-100.9723,09:27,,2014,4,18,2014,4,18,,,381,,381,,,,,,,87.36629784,1,2036;2039;2043;2044,,"Distrito Federal, Guerrero, Michoacan, Morelos (Adm1)."
2014-0234-MEX,2014,0234,EQ-2014-000096,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Chiapas province,,,,,,,,7,Richter,14.724,-92.4614,,,2014,7,7,2014,7,7,3,,27000,,27000,,,,,,,87.36629784,1,2032,,Chiapas (Adm1).
2014-0159-THA,2014,0159,,Natural,Geophysical,Earthquake,Ground movement,,,Thailand,THA,South-Eastern Asia,Asia,"Chiang Rai, Chiang Mai, Lampang, Lamphun, Mae Hong Son, Phayao, Phrae, Nan provinces",,,,,,,,6,Richter,19.6557,99.6696,18:08,,2014,5,5,2014,5,5,1,23,17500,,17523,,,15000,17169,62000,70966,87.36629784,1,2859;2860;2868;2869;2872;2881;2891;2897,,"Chiang Mai, Chiang Rai, Lampang, Lamphun, Mae Hong Son, Nan, Phayao, Phrae (Adm1)."
2014-0471-THA,2014,0471,,Natural,Hydrological,Flood,Flash flood,,,Thailand,THA,South-Eastern Asia,Asia,Trang province,Torrential rains,,,,,,,31653,Km2,,,,,2014,11,7,2014,11,16,,,12000,,12000,,,,,,,87.36629784,1,2920,,Trang (Adm1).
